,company
761,Andlauer Healthcare Group Inc
762,Loews Corp
763,PZ Cussons PLC
764,Banca Mediolanum SpA
765,SillaJen Inc
766,Eastman Chemical Co
767,Companhia de Saneamento de Minas Gerais Copasa MG
768,Laureate Education Inc
769,WashTec AG
770,Gap Inc
771,Glu Mobile Inc
772,Bure Equity AB
773,Deutsche Telekom AG
774,Iguatemi Empresa de Shopping Centers SA
775,REV Group Inc
776,Baillie Gifford Japan Trust PLC
777,Hutchison Port Holdings Trust
778,Hellenic Exchanges Athens Stock Exchange SA
779,Dogan Sirketler Grubu Holding AS
780,Chaarat Gold Holdings Ltd
781,Northwest Pipe Co
782,Advantech Co Ltd
783,Glow Energy PCL
784,Cornerstone OnDemand Inc
785,Northrop Grumman Corp
786,Canadian Apartment Properties Real Estate Investment Trust
787,Supernus Pharmaceuticals Inc
788,Connecticut Water Service Inc
789,Cranswick PLC
790,Collection House Ltd
791,Guoyuan Securities Co Ltd
792,DURECT Corp
793,Canopy Growth Corp
794,Cascades Inc
795,Abu Dhabi Islamic Bank PJSC
796,SVF Holdco (UK) Ltd
797,Saudi Investment Bank SJSC
798,PGE Polska Grupa Energetyczna SA
799,Shyft Group Inc
800,Nippon Paint Holdings Co Ltd
801,New World China Land Ltd
802,IGG Inc
803,Tokyo Tatemono Co Ltd
804,Tiffany & Co
805,AES Tiete SA
806,Thompson Creek Metals Company Inc (Colorado)
807,Warner Music Group Corp
808,Jiangsu Changshu Rural Commercial Bank Co Ltd
809,John Mattson Fastighetsforetagen publ AB
810,Diodes Inc
811,Bumi Serpong Damai Tbk PT
812,Intrepid Potash Inc
813,Accell Group NV
814,Sohu.com Ltd
815,Taseko Mines Ltd
816,Berkeley Group Holdings PLC
817,AK Alrosa PAO
818,Odfjell Drilling Ltd
819,Kiniksa Pharmaceuticals Ltd
820,Liberty Broadband Corp
821,Kemira Oyj
822,Zur Rose Group AG
823,Lazydays Holdings Inc
824,DBV Technologies SA
825,Bharat Forge Ltd
826,KP Tissue Inc
827,Legacy Lifepoint Health Inc
828,KLX Energy Services Holdings Inc
829,MGE Energy Inc
830,Bangchak Corporation PCL
831,Dendreon Corp
832,Brookfield Property Partners LP
833,KEB Hana Bank
834,Tianqi Lithium Corp
835,Prumo Logistica SA
836,PagerDuty Inc
837,LG Display Co Ltd
838,LegacyTexas Financial Group Inc
839,Sierra Wireless Inc
840,Shift Technologies Inc
841,TDK Electronics AG
842,Fonds de Placement Immobilier Innvest
843,Huaxin Cement Co Ltd
844,Tatts Group Ltd
845,SSP Group PLC
846,Vietnam Enterprise Investments Limited
847,DHI Group Inc
848,Hotel Chocolat Group PLC
849,Harvard Bioscience Inc
850,ITC Ltd
851,Keppel DC REIT
852,Hutchison Telecommunications Hong Kong Holdings Ltd
853,Prompt Holdings KK
854,Cigna Corp
855,ForFarmers NV
856,Genfit SA
857,Inter RAO YEES PAO
858,IVG Immobilien GmbH
859,GMO Payment Gateway Inc
860,Federal-Mogul Holdings LLC
861,First Horizon Corp (Tennessee)
862,Urban Corp
863,Wuhu Sanqi Interactive Entertainment Network Technology Group Co Ltd
864,Riversdale Mining Pty Ltd
865,Fyffes PLC
866,CNH Global NV
867,Schneider National Inc
868,Yadkin Financial Corp
869,Imax Corp
870,Prudential Financial Inc
871,3SBio Inc
872,EDP Renovaveis SA
873,Virtus Health Ltd
874,Ethan Allen Interiors Inc
875,REA Group Ltd
876,Starwood Waypoint Homes
877,Southwest Airlines Co
878,Far Eastern Department Stores Ltd
879,Infrastrutture Wireless Italiane SpA
880,Wal Mart de Mexico SAB de CV
881,IXYS Corp
882,Federal Signal Corp
883,Tilray Inc
884,Metall Zug AG
885,Equinix Inc
886,Kambi Group PLC
887,BioInvent International AB
888,Ternium Argentina SA
889,Shimano Inc
890,Rio Tinto Ltd
891,IDFC First Bank Ltd
892,Petrofac Ltd
893,Chicken Soup for The Soul Entertainment Inc
894,Electrolux Professional publ AB
895,Sichuan Kelun Pharmaceutical Co Ltd
896,PCTEL Inc
897,HSN Inc
898,Cimarex Energy Co
899,Freehold Royalties Ltd
900,Xiaomi Corp
901,Shanghai Lujiazui Finance & Trade Zone Development Co Ltd
902,CLS Holdings PLC
903,Murchison Metals Ltd
904,Gunma Bank Ltd
905,THG PLC
906,NK Rosneft' PAO
907,Cooper Energy Ltd
908,Ws Atkins Ltd
909,Canon Marketing Japan Inc
910,Coforge Ltd
911,Urban Edge Properties
912,Shimao Group Holdings Ltd
913,Svenska Cellulosa SCA AB
914,China National Building Material Co Ltd
915,Minerva SA
916,Famous Brands Ltd
917,Usinas Siderurgicas de Minas Gerais SA USIMINAS
918,Red Hat Inc
919,Chesnara PLC
920,Stockmann Oyj Abp
921,Mirvac Group
922,Japfa Ltd
923,Boldt SA
924,Platinum Australia Ltd
925,VMware Inc
926,Asahi Intecc Co Ltd
927,CNOOC Ltd
928,Games Workshop Group PLC
929,Danakali Ltd
930,China National Software & Service Co Ltd
931,RBB Bancorp
932,Redwood Trust Inc
